Code,Year,Return,Industry
2077,2014,0.371036,房地產業
2078,2014,0.384179,造紙和紙製品業
2079,2014,0.193138,計算機、通信和其他電子設備製造業
2080,2014,0.064605,非金屬礦物製品業
2081,2014,0.159109,建築裝飾和其他建築業
2082,2014,0.253672,有色金屬冶煉和壓延加工業
2083,2014,0.183215,紡織業
2084,2014,0.973261,金屬製品業
2085,2014,0.319557,汽車製造業
2086,2014,0.150715,漁業
2087,2014,0.26801,紡織業
2088,2014,0.563995,非金屬礦物製品業
2089,2014,1.100924,計算機、通信和其他電子設備製造業
2090,2014,0.41112,電氣機械和器材製造業
2091,2014,0.257576,批發業
2092,2014,0.480477,化學原料和化學製品製造業
2093,2014,0.19186,軟件和信息技術服務業
2094,2014,0.416895,化學原料和化學製品製造業
2095,2014,0.484344,互聯網和相關服務
2096,2014,-0.039003,化學原料和化學製品製造業
2097,2014,0.387786,專用設備製造業
2098,2014,0.764407,其他製造業
2099,2014,0.279522,醫藥製造業
2100,2014,-0.052332,農副食品加工業
2101,2014,0.529435,汽車製造業
2102,2014,0.799591,非金屬礦物製品業
2103,2014,0.816715,文教、工美、體育和娛樂用品製造業
2104,2014,0.287242,計算機、通信和其他電子設備製造業
2105,2014,0.764844,鐵路、船舶、航空航天和其他運輸設備製造業
2106,2014,0.10762,計算機、通信和其他電子設備製造業
2107,2014,1.25994,醫藥製造業
2108,2014,0.610442,橡膠和塑料製品業
2109,2014,0.184524,化學原料和化學製品製造業
2110,2014,0.339742,黑色金屬冶煉和壓延加工業
2111,2014,0.590963,專用設備製造業
2112,2014,0.43839,電氣機械和器材製造業
2113,2014,0.335519,房地產業
2114,2014,0.872032,有色金屬冶煉和壓延加工業
2115,2014,0.390895,計算機、通信和其他電子設備製造業
2116,2014,0.6727,專業技術服務業
2117,2014,0.667378,印刷和記錄媒介複製業
2118,2014,0.227551,醫藥製造業
2119,2014,0.638412,計算機、通信和其他電子設備製造業
2120,2014,0.472362,其他製造業
2121,2014,0.624302,儀器儀表製造業
2122,2014,0.811436,通用設備製造業
2123,2014,0.277008,電氣機械和器材製造業
2124,2014,0.134328,農副食品加工業
2125,2014,0.210526,化學原料和化學製品製造業
2126,2014,0.150834,汽車製造業
2127,2014,0.320301,化學纖維製造業
2128,2014,0.18055,煤炭開採和洗選業
2129,2014,0.132938,計算機、通信和其他電子設備製造業
2130,2014,0.887247,計算機、通信和其他電子設備製造業
2131,2014,0.644837,通用設備製造業
2132,2014,0.457143,金屬製品業
2133,2014,0.304812,房地產業
2134,2014,0.202702,計算機、通信和其他電子設備製造業
2135,2014,0.53956,土木工程建築業
2136,2014,0.459091,化學原料和化學製品製造業
2137,2014,0.7601,計算機、通信和其他電子設備製造業
2138,2014,0.021636,計算機、通信和其他電子設備製造業
2139,2014,0.371539,電氣機械和器材製造業
2140,2014,-0.043227,土木工程建築業
2141,2014,0.963958,計算機、通信和其他電子設備製造業
2142,2014,0.78258,貨幣金融服務
2143,2014,1.210762,農副食品加工業
2144,2014,-0.120595,紡織業
2145,2014,0.563758,化學原料和化學製品製造業
2146,2014,0.618332,房地產業
2147,2014,0.489908,通用設備製造業
2148,2014,-0.1976,軟件和信息技術服務業
2149,2014,0.172076,有色金屬冶煉和壓延加工業
2150,2014,0.304973,金屬製品業
2151,2014,0.197729,計算機、通信和其他電子設備製造業
2152,2014,0.399587,通用設備製造業
2153,2014,0.384891,軟件和信息技術服務業
2154,2014,0.367854,紡織服裝、服飾業
2155,2014,0.300552,有色金屬礦採選業
2156,2014,0.398614,計算機、通信和其他電子設備製造業
2157,2014,0.296295,農副食品加工業
2158,2014,0.065059,通用設備製造業
2159,2014,0.246536,公共設施管理業
2160,2014,0.345338,有色金屬冶煉和壓延加工業
2161,2014,-0.023236,計算機、通信和其他電子設備製造業
2162,2014,0.202702,非金屬礦物製品業
2163,2014,0.696808,建築裝飾和其他建築業
2164,2014,0.429332,通用設備製造業
2165,2014,0.228075,化學原料和化學製品製造業
2166,2014,0.240951,醫藥製造業
2167,2014,0.213345,化學原料和化學製品製造業
2168,2014,0.389575,電氣機械和器材製造業
2169,2014,0.709946,電氣機械和器材製造業
2170,2014,0.426538,化學原料和化學製品製造業
2171,2014,0.806499,有色金屬冶煉和壓延加工業
2172,2014,0.616113,化學纖維製造業
