CO_ID	CoName	Date	ROI
TEJN12 	Glass ceramic	2015/01/13	   1.4882
TEJN13 	Papermaking  	2015/01/13	  -0.1717
TEJN14 	Steel        	2015/01/13	   0.4243
TEJN15 	Rubber       	2015/01/13	   1.1261
TEJN16 	Automobile   	2015/01/13	   1.3003
TEJN17 	Construction 	2015/01/13	   0.3782
TEJN18 	Ocean Air Trans.	2015/01/13	   1.7953
TEJN19 	Land transportation	2015/01/13	   0.2077
TEJN20 	Tourist catering	2015/01/13	   0.5340
TEJN21 	Stores and Trade	2015/01/13	   0.4358
TEJN22 	Oil Gas and Elec.	2015/01/13	   0.6206
TEJN23 	Sports & Leisure	2015/01/13	   0.8539
TEJO99 	Other        	2015/01/13	   0.4464
TEJT01 	Personal computer	2015/01/13	   0.6932
TEJT02 	Motherboard  	2015/01/13	   1.0441
TEJT03 	PCB          	2015/01/13	   0.9084
TEJT04 	PCB materials	2015/01/13	   0.7033
TEJT05 	PC peripherals	2015/01/13	   1.2571
TEJT06 	LED          	2015/01/13	  -0.4531
TEJT07 	Solar        	2015/01/13	   0.7513
TEJT08 	Panel        	2015/01/13	  -0.5842
TEJT09 	Other optoelectronic	2015/01/13	   0.7846
TEJT10 	Connector    	2015/01/13	   0.4857
TEJT11 	Power Supply 	2015/01/13	  -0.2452
TEJT12 	Cabinet      	2015/01/13	   1.2158
TEJT13 	Passive Components	2015/01/13	   0.5289
TEJT14 	Other Electronic C.	2015/01/13	   0.5095
TEJT15 	Netcom       	2015/01/13	  -0.0635
TEJT16 	IC Manufacturing	2015/01/13	   0.0014
TEJT17 	IC Design    	2015/01/13	  -0.6254
TEJT18 	Electronic Equipment	2015/01/13	  -0.0618
TEJT19 	Telecommunications	2015/01/13	   0.4822
TEJT20 	Information channel	2015/01/13	   0.4686
TEJT21 	Consumer Electronics	2015/01/13	   0.9603
TEJT22 	Software     	2015/01/13	   0.3156
TEJF01 	Financial Inst.	2015/01/14	  -0.8898
TEJF02 	Insurance    	2015/01/14	  -0.2667
TEJF03 	Security and Trust	2015/01/14	   0.0942
TEJN01 	Cement       	2015/01/14	  -0.2087
TEJN02 	Food         	2015/01/14	  -1.3433
TEJN03 	Plastic materials	2015/01/14	  -0.7832
TEJN04 	Plastic Products	2015/01/14	  -0.1734
TEJN05 	Spinning     	2015/01/14	  -0.2399
TEJN06 	Machine Tools	2015/01/14	   0.3860
TEJN07 	Motors & Appliances	2015/01/14	  -0.6588
TEJN08 	Wire         	2015/01/14	  -0.1910
TEJN09 	Medicine     	2015/01/14	   0.0609
TEJN10 	Medical supplies	2015/01/14	   0.3921
TEJN11 	Other chemical	2015/01/14	   0.0319
TEJN12 	Glass ceramic	2015/01/14	  -0.9357
TEJN13 	Papermaking  	2015/01/14	  -0.1316
TEJN14 	Steel        	2015/01/14	   0.0105
TEJN15 	Rubber       	2015/01/14	  -0.4581
TEJN16 	Automobile   	2015/01/14	  -0.7371
TEJN17 	Construction 	2015/01/14	  -0.1507
TEJN18 	Ocean Air Trans.	2015/01/14	  -0.2593
TEJN19 	Land transportation	2015/01/14	  -0.1803
TEJN20 	Tourist catering	2015/01/14	  -0.6051
TEJN21 	Stores and Trade	2015/01/14	  -0.8842
TEJN22 	Oil Gas and Elec.	2015/01/14	  -0.1149
TEJN23 	Sports & Leisure	2015/01/14	   1.1718
TEJO99 	Other        	2015/01/14	  -0.1253
TEJT01 	Personal computer	2015/01/14	  -1.0297
TEJT02 	Motherboard  	2015/01/14	   0.6568
TEJT03 	PCB          	2015/01/14	   0.0324
TEJT04 	PCB materials	2015/01/14	   0.1991
TEJT05 	PC peripherals	2015/01/14	   0.5525
TEJT06 	LED          	2015/01/14	  -0.1276
TEJT07 	Solar        	2015/01/14	  -0.1511
TEJT08 	Panel        	2015/01/14	   0.6984
TEJT09 	Other optoelectronic	2015/01/14	   0.1075
TEJT10 	Connector    	2015/01/14	  -0.0077
TEJT11 	Power Supply 	2015/01/14	   2.4349
TEJT12 	Cabinet      	2015/01/14	  -0.5527
TEJT13 	Passive Components	2015/01/14	   0.4449
TEJT14 	Other Electronic C.	2015/01/14	  -0.1297
TEJT15 	Netcom       	2015/01/14	   0.4238
TEJT16 	IC Manufacturing	2015/01/14	  -1.3818
TEJT17 	IC Design    	2015/01/14	   0.6912
TEJT18 	Electronic Equipment	2015/01/14	   0.8724
TEJT19 	Telecommunications	2015/01/14	  -0.6814
TEJT20 	Information channel	2015/01/14	  -0.0823
TEJT21 	Consumer Electronics	2015/01/14	   0.4676
TEJT22 	Software     	2015/01/14	   0.8362
TEJF01 	Financial Inst.	2015/01/15	  -0.3173
TEJF02 	Insurance    	2015/01/15	  -0.0967
