Date	Close	Open	High	Low	Volume
2016-04-29	66.88	66.88	67.4	66.88	38516
2016-05-03	65.57	66.79	66.88	65.57	31440
2016-05-04	65.66	65.57	66.27	64.97	33607
2016-05-05	65.4	65.66	66.01	65.05	24899
2016-05-06	64.01	65.4	65.49	63.84	46281
2016-05-09	62.97	64.19	64.36	62.89	38311
2016-05-10	64.88	62.97	64.88	62.89	29746
2016-05-11	64.19	64.88	65.49	63.67	27889
2016-05-12	63.58	64.1	64.27	63.32	26316
2016-05-13	64.53	65.05	65.4	63.75	63339
2016-05-16	64.19	64.27	64.53	63.75	26475
2016-05-17	64.45	64.36	64.79	64.19	29030
2016-05-18	64.53	64.45	64.62	63.75	28906
2016-05-19	64.36	64.53	64.79	64.01	25348
2016-05-20	64.19	64.45	64.88	64.19	24261
2016-05-23	67.14	64.53	67.4	64.36	52975
2016-05-24	66.27	67.05	67.14	66.27	26754
2016-05-25	68.0	67.22	69.13	67.14	46903
2016-05-26	67.74	68.09	68.52	67.66	18307
2016-05-27	68.0	68.18	68.44	67.74	20091
2016-05-30	68.96	68.52	69.3	68.09	25266
2016-05-31	69.48	68.96	69.48	68.61	66579
2016-06-01	69.91	69.04	70.26	69.04	28491
2016-06-02	68.78	70.0	70.09	68.7	29009
2016-06-03	69.39	68.96	69.56	68.96	17414
2016-06-04	69.56	69.3	69.65	69.13	5532
2016-06-06	69.56	69.22	70.61	69.04	21625
2016-06-07	70.35	70.09	70.43	69.91	31493
2016-06-08	70.52	70.69	71.13	70.35	37351
2016-06-13	68.18	69.3	69.39	68.18	48285
2016-06-14	69.3	67.66	69.3	67.66	26410
2016-06-15	69.56	68.78	69.65	68.7	21566
2016-06-16	68.35	68.96	69.04	68.18	28763
2016-06-17	68.78	68.7	69.48	68.52	33517
2016-06-20	69.82	69.74	70.09	69.48	25729
2016-06-21	70.0	69.65	70.26	69.48	24933
2016-06-22	70.69	70.0	70.69	70.0	27195
2016-06-23	71.91	71.13	71.99	71.13	49044
2016-06-24	70.69	72.17	72.17	69.91	64170
2016-06-27	71.13	70.26	71.21	70.09	20747
2016-06-28	71.56	70.43	71.56	70.09	26680
2016-06-29	71.56	71.13	71.91	71.13	20873
2016-06-30	71.56	71.73	71.91	71.3	27817
2016-07-01	71.73	71.56	72.34	71.56	25594
2016-07-04	72.25	72.25	72.43	71.99	25249
2016-07-05	71.99	71.99	72.25	71.65	17271
2016-07-06	70.69	71.56	71.56	70.69	26713
2016-07-07	71.21	71.13	71.39	70.87	16964
2016-07-11	71.56	71.3	71.99	71.3	33141
2016-07-12	72.25	71.65	72.43	71.65	32630
2016-07-13	72.43	72.77	72.77	71.99	30235
2016-07-14	72.43	72.43	72.51	71.99	19334
2016-07-15	73.29	72.6	73.55	72.6	34163
2016-07-18	74.6	74.08	74.6	73.73	42513
2016-07-19	74.77	74.94	74.94	74.25	34955
2016-07-20	74.6	74.42	74.86	74.25	28845
2016-07-21	75.81	74.86	76.33	74.77	51008
2016-07-22	75.98	76.07	76.24	75.64	34959
2016-07-25	75.98	75.81	76.33	74.25	34004
2016-07-26	76.16	75.9	76.24	75.2	28924
2016-07-27	77.2	76.68	77.63	76.59	47025
2016-07-28	77.2	77.54	77.54	76.76	28783
2016-07-29	76.24	77.2	77.2	76.24	29462
2016-08-01	77.02	76.16	77.2	76.16	35252
2016-08-02	76.76	77.02	77.2	76.76	17857
2016-08-03	75.9	75.9	76.59	75.81	28265
2016-08-04	76.33	76.33	76.33	75.9	16706
2016-08-05	76.68	76.33	77.02	76.16	21977
2016-08-08	78.07	77.37	78.07	77.2	38003
2016-08-09	77.98	78.07	78.15	77.37	27157
2016-08-10	78.07	77.98	78.07	77.72	21467
2016-08-11	77.63	77.54	77.8	76.68	32700
2016-08-12	74.77	75.03	76.16	74.6	120062
2016-08-15	75.64	74.42	75.64	74.16	42295
2016-08-16	74.77	75.46	75.64	74.68	35385
2016-08-17	73.73	74.6	74.68	73.55	71503
2016-08-18	74.34	73.64	74.6	73.29	41301
2016-08-19	73.99	74.6	75.2	73.9	37607
2016-08-22	74.08	73.9	74.25	73.73	25392
2016-08-23	74.42	73.9	74.51	73.9	32195
2016-08-24	75.2	74.77	75.55	74.68	43804
2016-08-25	76.76	75.38	76.76	75.38	57438
2016-08-26	76.76	77.11	77.2	76.42	38907
2016-08-29	77.46	77.2	77.8	76.68	63998
2016-08-30	77.2	77.46	77.63	76.94	45965
2016-08-31	76.33	76.94	77.11	76.33	68836
2016-09-01	75.81	75.64	76.16	75.29	103889
2016-09-02	77.2	76.6	77.9	76.3	158664
2016-09-05	78.2	77.9	78.4	77.6	44625
2016-09-06	79.8	78.8	79.9	78.6	51022
2016-09-07	79.5	80.4	80.8	79.5	59399
2016-09-08	78.5	79.6	79.7	78.5	50257
2016-09-09	77.7	77.8	77.9	77.5	36760
2016-09-10	78.0	76.8	78.3	76.7	23404
2016-09-12	77.5	78.0	78.2	77.5	31237
2016-09-13	77.2	78.3	78.5	76.8	37723
2016-09-14	77.4	77.2	78.2	77.2	43959
2016-09-19	80.4	79.9	80.5	79.2	76667
2016-09-20	80.2	80.5	80.7	80.0	41417
2016-09-21	80.0	79.9	80.1	79.3	29174
2016-09-22	79.6	80.3	80.8	79.3	31624
2016-09-23	79.8	79.9	80.0	79.4	30788
2016-09-26	78.9	79.1	79.4	78.6	32605
2016-09-29	79.8	79.8	80.0	79.3	49890
2016-09-30	79.0	79.2	79.5	79.0	33180
2016-10-03	79.2	79.8	79.8	79.2	23921
2016-10-04	79.5	79.0	79.5	78.9	19839
2016-10-05	79.6	79.1	79.8	79.1	14224
2016-10-06	80.2	80.2	80.3	80.0	24815
2016-10-07	80.0	80.5	80.5	80.0	15318
2016-10-11	81.1	81.0	81.9	80.5	51744
2016-10-12	81.6	81.5	81.7	80.9	38592
2016-10-13	81.8	82.1	82.4	81.6	34881
2016-10-14	81.2	81.6	81.7	80.7	22420
2016-10-17	81.9	80.8	82.0	80.4	29655
2016-10-18	82.1	81.9	82.2	81.6	32868
2016-10-19	82.4	82.2	82.5	82.2	38455
2016-10-20	83.5	82.8	83.5	82.7	40042
2016-10-21	84.3	84.0	85.0	83.9	65473
2016-10-24	84.2	84.9	85.0	84.1	31339
2016-10-25	85.7	84.6	85.9	84.5	49322
2016-10-26	85.6	85.2	85.9	85.0	36417
2016-10-27	85.4	85.9	86.4	85.0	36899
2016-10-28	84.8	85.9	85.9	84.6	30165
2016-10-31	85.3	84.7	85.3	83.6	31249
2016-11-01	84.6	85.3	85.4	84.4	23258
2016-11-02	82.6	84.0	84.4	82.6	51613
2016-11-03	81.7	82.1	83.0	81.6	43612
2016-11-04	82.0	81.6	82.5	81.6	25604
2016-11-07	83.5	82.5	83.6	82.3	30230
2016-11-08	83.0	83.9	84.0	82.6	20390
2016-11-09	80.4	84.0	84.2	80.1	70378
2016-11-10	81.5	82.4	82.4	81.5	48546
2016-11-11	79.0	79.5	80.3	79.0	73170
2016-11-14	79.0	79.5	79.6	78.6	46012
2016-11-15	79.0	78.7	79.8	78.7	34163
2016-11-16	79.0	79.4	79.9	79.0	39144
2016-11-17	80.6	79.8	80.6	79.3	31889
2016-11-18	80.9	80.6	81.3	79.8	32171
2016-11-21	80.9	80.9	81.1	80.5	14358
2016-11-22	81.2	81.3	81.7	81.0	29078
2016-11-23	82.0	81.8	82.3	81.7	27268
2016-11-24	81.1	81.5	81.7	81.1	17929
2016-11-25	80.5	80.9	81.0	80.4	16543
2016-11-28	81.3	81.4	81.4	80.7	15494
2016-11-29	82.0	82.0	82.8	81.6	41901
2016-11-30	82.0	82.2	82.9	81.3	51345
2016-12-01	82.4	82.7	82.7	81.7	26194
2016-12-02	81.7	81.5	81.9	81.3	29231
2016-12-05	81.3	81.6	81.9	81.1	16511
2016-12-06	82.3	82.1	82.4	81.9	29762
2016-12-07	83.1	83.2	83.4	82.8	38118
2016-12-08	84.8	84.0	84.8	83.7	83403
2016-12-09	85.0	85.5	85.6	84.7	47933
2016-12-12	83.4	84.5	84.9	83.3	35560
2016-12-13	84.4	84.0	84.4	83.6	36527
2016-12-14	83.7	84.9	85.0	83.7	30200
2016-12-15	84.2	83.5	84.3	83.5	33238
2016-12-16	83.6	83.9	84.5	83.6	38931
2016-12-19	82.8	83.5	83.7	82.8	24351
2016-12-20	83.7	83.5	83.8	83.0	23623
2016-12-21	83.3	84.1	84.2	83.3	34041
2016-12-22	82.8	83.6	83.6	82.7	28033
2016-12-23	82.7	82.7	83.5	82.6	21893
2016-12-26	83.3	82.8	83.3	82.8	8157
2016-12-27	83.5	83.5	83.6	83.0	8564
2016-12-28	84.0	83.1	84.0	83.1	18399
2016-12-29	83.6	83.1	84.3	83.1	23802
2016-12-30	84.2	84.2	84.4	84.0	21649
