Security Name,CoName,YY/MM/DD,Market Risk Premium,Size Factor (3 Factor),Book to Market Factor,Risk-free Interest Rate
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/20,   1.4394,  -0.6647,  -0.0333, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/21,   0.2188,   0.2008,   0.3108, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/24,   0.2977,   0.0961,  -0.4533, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/25,   0.0824,   0.2675,  -0.2701, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/26,   0.1103,   0.0828,  -0.3251, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/27,   0.4363,  -0.3480,  -0.2186, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/28,   0.1906,  -0.1959,  -0.1392, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/01,  -0.4248,   0.4391,   0.0599, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/02,  -0.6650,   1.3898,   0.0976, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/03,   1.5761,   0.1639,   0.0768, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/04,   0.4951,  -0.0985,   0.0859, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/05,  -0.1883,   0.8083,   0.2608, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/08,  -0.1982,   0.7282,  -0.3102, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/09,  -0.6384,   0.2923,   0.1014, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/10,  -0.9572,   0.4947,  -0.1645, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/11,  -0.1657,   0.0386,   0.2291, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/12,   0.1908,   0.4131,  -0.0883, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/15,  -0.3729,   0.5419,   0.3699, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/16,  -0.4536,   0.5548,   0.3593, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/17,  -1.2754,   0.5031,   0.1759, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/18,   0.6052,  -0.3625,  -0.1914, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/19,   1.1067,  -1.5373,  -0.5256, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/22,   1.1099,  -0.5488,   0.4433, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/23,   0.0160,   0.4659,   0.3595, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/24,   0.9898,  -0.4202,   0.7247, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/25,  -0.2785,   0.3870,   0.3027, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/26,   0.6399,  -0.2479,   0.0360, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/27,   0.1055,   0.5418,   0.0852, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/29,   0.7341,  -0.2407,  -0.4195, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/30,  -0.1990,   0.1720,  -0.2125, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/12/31,   0.4774,   0.0670,  -0.2604, 1.355
