YY/MM/DD	Market Risk Premium	Size Factor (3 Factor)	Book to Market Factor	Risk-free Interest Rate
2016-05-31	-0.0075	-0.0284	-0.0451	1.125
2016-06-01	0.7433	-0.1958	-0.0478	1.125
2016-06-02	-0.4755	-0.2868	0.1417	1.125
2016-06-03	0.3984	-0.4071	-0.046	1.125
2016-06-04	0.0473	0.6239	-0.2904	1.125
2016-06-06	0.0713	-0.1745	-0.3813	1.125
2016-06-07	0.9477	-0.6753	-0.0443	1.125
2016-06-08	0.401	-0.3007	-0.2107	1.125
2016-06-13	-2.0678	0.8095	-0.1197	1.125
2016-06-14	0.44799999999999995	-0.1673	0.1879	1.125
2016-06-15	0.3514	0.084	-0.2127	1.125
2016-06-16	-1.3094	0.946	0.1635	1.125
2016-06-17	0.8778	-0.379	-0.2169	1.125
2016-06-20	0.6779999999999999	-0.0438	0.4109	1.125
2016-06-21	0.7026	-0.2599	-0.3714	1.125
2016-06-22	0.3692	-0.2153	0.214	1.125
2016-06-23	-0.3984	0.1525	0.2399	1.125
2016-06-24	-2.2866	-0.2832	0.6642	1.125
2016-06-27	0.619	0.4915	-0.2397	1.125
2016-06-28	0.5539	0.1363	-0.3806	1.125
2016-06-29	0.9655	-0.4977	0.3541	1.125
2016-06-30	1.0418	-0.3903	-0.6278	1.125
2016-07-01	0.83	-0.4178	-0.4306	1.125
2016-07-04	0.4172	0.0795	0.2504	1.125
2016-07-05	-0.4779	0.6188	0.7069	1.045
2016-07-06	-1.5114	0.8895	0.0954	1.045
2016-07-07	0.8843	-0.2811	-0.3919	1.045
2016-07-11	1.7167	-1.4242	-0.3449	1.045
2016-07-12	0.754	-0.3902	-0.5271	1.045
2016-07-13	0.3414	-0.3593	0.6264	1.045
2016-07-14	0.1874	0.2361	0.509	1.045
2016-07-15	1.0323	-0.6271	-0.2578	1.045
2016-07-18	0.7008	-0.0512	-0.1105	1.045
2016-07-19	0.4203	-0.3905	0.556	1.045
2016-07-20	-0.2679	0.4885	0.0971	1.045
2016-07-21	0.8152	-0.0189	0.3391	1.045
2016-07-22	-0.4782	0.2827	0.248	1.045
2016-07-25	-0.1955	-0.4475	-0.077	1.045
2016-07-26	0.4672	-0.2378	0.0558	1.045
2016-07-27	0.4362	-0.3336	-0.2635	1.045
2016-07-28	0.1806	-0.1535	-0.0129	1.045
2016-07-29	-0.9477	0.8576	0.4121	1.045
2016-08-01	1.1539	-0.4056	-0.2177	1.045
2016-08-02	-0.0545	0.5562	-0.2086	1.045
2016-08-03	-0.7062	0.4021	0.4487	1.045
2016-08-04	0.3223	0.0603	-0.2813	1.045
2016-08-05	0.8285	-0.3666	-0.162	1.045
2016-08-08	0.6466	-0.2994	0.0727	1.045
2016-08-09	0.0772	-0.7211	0.2567	1.045
2016-08-10	0.5341	-0.6011	-0.4459	1.045
2016-08-11	-0.7085	-0.102	0.1029	1.045
2016-08-12	0.2087	0.0479	0.0647	1.045
2016-08-15	0.1135	0.2507	-0.2216	1.045
2016-08-16	-0.4094	0.4249	0.2694	1.045
2016-08-17	0.084	0.2629	0.0928	1.045
2016-08-18	0.1283	0.1973	0.133	1.045
2016-08-19	-0.951	0.2787	0.2959	1.045
2016-08-22	-0.5649	-0.3194	0.313	1.045
2016-08-23	0.5406	-0.0514	0.1107	1.045
2016-08-24	-0.0948	0.3968	-0.1077	1.045
2016-08-25	1.1205	-0.5796	0.1153	1.045
2016-08-26	0.1909	0.1109	-0.0641	1.045
2016-08-29	-0.2219	0.5289	0.1579	1.045
2016-08-30	0.0271	0.2528	0.3304	1.045
2016-08-31	-0.428	0.4533	-0.0762	1.045
2016-09-01	-0.7234	0.672	-0.0309	1.045
2016-09-02	0.1084	-1.1359	-0.1913	1.045
2016-09-05	1.1373	-0.513	-0.2631	1.045
2016-09-06	1.0052	-0.7256	0.2902	1.045
2016-09-07	0.8320000000000001	-0.152	-0.3643	1.045
2016-09-08	0.0804	0.4192	0.3334	1.045
2016-09-09	-1.0604	0.9951	0.5632	1.045
2016-09-10	-1.2116	0.4518	-0.27899999999999997	1.045
2016-09-12	-1.1738	0.4762	0.5428	1.045
2016-09-13	-0.0715	-0.4637	-0.2966	1.045
2016-09-14	-0.4323	0.2201	0.34	1.045
2016-09-19	2.8081	-1.4680000000000002	-1.2396	1.045
2016-09-20	0.092	0.2492	0.1328	1.045
2016-09-21	0.7223	0.2693	0.0648	1.045
2016-09-22	0.0715	-0.1242	0.0559	1.045
2016-09-23	0.5427	-0.2514	0.1377	1.045
2016-09-26	-0.9579	0.5337	0.3534	1.045
2016-09-29	0.8551	0.2663	-1.2907	1.045
2016-09-30	-1.1254	0.7996	-0.0674	1.045
2016-10-03	0.7256	-0.5387	-0.3367	1.045
2016-10-04	0.5821	-0.2273	0.1798	1.045
2016-10-05	-0.1642	0.2034	0.1513	1.045
2016-10-06	0.133	0.1311	-0.0189	1.045
2016-10-07	-0.2037	-0.0271	-0.4447	1.045
2016-10-11	-0.4901	-1.814	-0.523	1.045
2016-10-12	0.3486	-0.5071	-0.0236	1.045
2016-10-13	-0.3629	0.0947	-0.2737	1.045
2016-10-14	-0.5942	-0.9651	0.11900000000000001	1.045
2016-10-17	0.1258	0.2011	0.2447	1.045
2016-10-18	0.5048	-0.27399999999999997	0.4798	1.045
2016-10-19	0.6612	-0.1814	-0.0249	1.045
2016-10-20	0.3539	-0.1232	0.4892	1.045
2016-10-21	-0.1122	0.3246	0.2537	1.045
2016-10-24	0.16699999999999998	0.2314	0.1477	1.045
2016-10-25	0.6773	-0.4515	-0.1235	1.045
2016-10-26	-0.2469	0.4462	0.0083	1.045
2016-10-27	-0.6702	0.3691	0.2831	1.045
2016-10-28	0.0706	-0.3334	-0.3214	1.045
2016-10-31	-0.18600000000000003	0.1705	0.0505	1.045
2016-11-01	-0.1886	0.0409	0.2272	1.045
2016-11-02	-1.4388	-0.0777	0.1351	1.045
2016-11-03	-0.7891	-0.2197	0.2098	1.045
2016-11-04	0.0085	-0.18	0.369	1.045
2016-11-07	1.3402	-0.5861	-0.3934	1.045
2016-11-08	0.2998	-0.7027	0.12300000000000001	1.045
2016-11-09	-2.9724	-0.0335	-0.1187	1.045
2016-11-10	2.3312	0.3014	0.3623	1.045
2016-11-11	-2.1294	1.0669	1.0516	1.045
2016-11-14	-0.1956	-0.0437	0.664	1.045
