Date	Close	Open	High	Low	Volume	ROI
2015-10-06	30.3	30.87	30.87	30.3	93	0.0
2015-10-07	30.2	30.39	30.39	30.2	88	-0.3155
2015-10-08	30.44	30.3	30.54	30.3	82	0.7911
2015-10-12	30.35	30.49	30.49	30.3	93	-0.314
2015-10-13	30.2	30.35	30.49	30.2	123	-0.4724
2015-10-14	30.25	30.25	30.54	30.16	69	0.1582
2015-10-15	30.49	30.25	30.49	30.25	60	0.7899
2015-10-16	30.35	30.54	30.59	30.25	71	-0.4702
2015-10-19	29.87	30.11	30.25	29.87	171	-1.5748
2015-10-20	30.44	29.87	30.44	29.87	58	1.92
2015-10-21	31.02	30.59	31.02	30.49	181	1.8838
2015-10-22	30.78	31.06	31.06	30.78	59	-0.7704
2015-10-23	30.87	30.87	30.87	30.59	64	0.3106
2015-10-26	30.87	31.06	31.06	30.83	30	0.0
2015-10-27	30.68	30.87	30.87	30.68	37	-0.6192
2015-10-28	30.39	30.87	30.87	30.39	61	-0.9346
2015-10-29	30.44	30.49	30.54	30.39	40	0.1572
2015-10-30	30.49	30.39	30.49	30.11	39	0.157
2015-11-02	30.59	30.59	30.59	30.39	27	0.3135
2015-11-03	30.59	30.44	30.59	30.44	22	0.0
2015-11-04	31.11	30.59	31.11	30.49	121	1.7187
2015-11-05	31.16	31.83	32.02	30.92	61	0.1536
2015-11-06	30.83	31.16	31.16	30.83	34	-1.0736
2015-11-09	31.06	30.83	31.06	30.83	32	0.7752
2015-11-10	31.06	30.97	31.11	30.92	36	0.0
2015-11-11	30.87	31.06	31.06	30.87	33	-0.6154
2015-11-12	30.78	30.87	30.87	30.78	34	-0.3096
2015-11-13	30.68	30.78	30.78	30.68	27	-0.3106
2015-11-16	30.59	30.68	30.83	30.59	67	-0.3115
2015-11-17	30.63	30.59	30.73	30.59	25	0.1562
2015-11-18	30.59	30.68	30.68	30.54	44	-0.156
2015-11-19	30.54	30.59	30.68	29.63	155	-0.1563
2015-11-20	30.68	30.54	30.68	30.35	34	0.4695
2015-11-23	30.49	30.54	30.68	30.39	51	-0.6231
2015-11-24	30.39	30.3	30.49	30.25	46	-0.3135
2015-11-25	30.01	30.2	30.2	29.92	111	-1.2579
2015-11-26	30.01	30.01	30.16	29.92	88	0.0
2015-11-27	30.11	30.01	30.2	29.92	95	0.3185
2015-11-30	29.96	30.11	30.11	29.96	79	-0.4762
2015-12-01	30.16	29.96	30.2	29.96	24	0.638
2015-12-02	30.16	30.16	30.2	30.11	26	0.0
2015-12-03	30.2	30.16	30.35	30.16	13	0.1585
2015-12-04	30.16	30.2	30.35	30.01	53	-0.1582
2015-12-07	30.2	30.16	30.2	30.16	11	0.1585
2015-12-08	30.16	30.2	30.2	30.11	7	-0.1582
2015-12-09	30.11	30.16	30.2	30.01	25	-0.1585
2015-12-10	30.06	30.11	30.11	29.96	62	-0.1587
2015-12-11	29.96	30.06	30.11	29.96	41	-0.318
